rank,name,number,chg
1,"HONG KONG, HK (HKG)",391000.00,1
2,"DUBAI, AE (DXB)",218408.00,5.2
3,"SHANGHAI, CN (PVG)",209223.00,0.9
4,"INCHEON, KR (ICN)",206583.00,-1
5,"TAIPEI, TW (TPE)",165898.00,-10.1
6,"TOKYO, JP (NRT)",165494.00,-3.7
7,"SINGAPORE, SG (SIN)",163600.00,3.2
8,"PARIS, FR (CDG)",162123.00,0.7
9,"ANCHORAGE AK, US (ANC)",159688.00,-2.6
10,"FRANKFURT, DE (FRA)",159085.00,-1.3
11,"MIAMI FL, US (MIA)",156074.00,-2.3
12,"AMSTERDAM, NL (AMS)",135328.00,1.1
13,"DOHA, QA (DOH)",130795.00,47
14,"LONDON, GB (LHR)",126698.00,1
15,"CHICAGO IL, US (ORD)",102182.00,-1.1
16,"BANGKOK, TH (BKK)",98627.00,-4.5
17,"LOS ANGELES CA, US (LAX)",88945.00,-1
18,"NEW YORK NY, US (JFK)",83872.00,-4.2
19,"LEIPZIG, DE (LEJ)",83511.00,10
20,"DUBAI, AE (DWC)",71847.00,-3.6
21,"GUANGZHOU, CN (CAN)",69109.00,11.5
22,"COLOGNE, DE (CGN)",67970.00,9.8
23,"ABU DHABI, AE (AUH)",66987.00,-3.9
24,"LUXEMBOURG, LU (LUX)",64764.00,3
25,"BEIJING, CN (PEK)",64072.00,0.9
26,"ISTANBUL, TR (IST)",60995.00,2.6
27,"OSAKA, JP (KIX)",58786.00,-8.1
28,"LIEGE, BE (LGG)",58159.00,9.9
29,"KUALA LUMPUR, MY (KUL)",49692.00,-16.4
30,"BOGOTA, CO (BOG)",45293,7.3
