rank,name,number,chg
1,"DUBAI, AE (DXB)",6991437.00,8.4
2,"HONG KONG, HK (HKG)",5948000.00,6
3,"LONDON, GB (LHR)",5538404.00,0.7
4,"SINGAPORE, SG (SIN)",5248000.00,4.2
5,"PARIS, FR (CDG)",4419302.00,-3.3
6,"INCHEON, KR (ICN)",4375499.00,11.9
7,"AMSTERDAM, NL (AMS)",4287593.00,7.9
8,"BANGKOK, TH (BKK)",3988214.00,2.2
9,"ISTANBUL, TR (IST)",3814077.00,24.8
10,"FRANKFURT, DE (FRA)",3603641.00,1.6
11,"KUALA LUMPUR, MY (KUL)",3394589.00,-1.2
12,"TAIPEI, TW (TPE)",3294508.00,7.9
13,"DOHA, QA (DOH)",2905887.00,18.8
14,"MADRID, ES (MAD)",2620879.00,9.8
15,"TOKYO, JP (NRT)",2495552.00,5
16,"NEW YORK NY, US (JFK)",2456752.00,7.2
17,"LONDON, GB (LGW)",2429943.00,5.1
18,"MUNICH, DE (MUC)",2114821.00,1.1
19,"ABU DHABI, AE (AUH)",2091095.00,17
20,"TORONTO ON, CA (YYZ)",2052985.00,4.8
21,"MIAMI FL, US (MIA)",1976862.00,2.3
22,"SHANGHAI, CN (PVG)",1900500.00,15.1
23,"ZURICH, CH (ZRH)",1841252.00,1.1
24,"ROME, IT (FCO)",1829585.00,1.9
25,"BARCELONA, ES (BCN)",1824089.00,8.7
26,"COPENHAGEN, DK (CPH)",1777608.00,12.6
27,"DUBLIN, IE (DUB)",1767965.00,12.1
28,"JEDDAH, SA (JED)",1694037.00,23.3
29,"LOS ANGELES CA, US (LAX)",1674567.00,10.1
30,"MANILA, PH (MNL)",1632300.00,9.3
